Dimension.DATE,Ad unit 1,Ad unit 2,Ad unit ID 1,Ad unit ID 2,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_IMPRESSIONS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CLICKS,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_CTR,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_REVENUE,Column.AD_EXCHANGE_LINE_ITEM_LEVEL_AVERAGE_ECPM,Column.AD_EXCHANGE_ACTIVE_VIEW_VIEWABLE_IMPRESSIONS_RATE
2020-11-23,meganews.tech,Meganews_WEB_content6_Posts_20200626,22030928621,22048503166,1773,21,0.0118,676537,381578,0.3554
2020-11-23,megareceitas.xyz,Megareceitas_WEB_content1_Posts_20200626,22042268777,22048530116,1,0,0.0000,126,126271,0.0000
2020-11-23,megareceitas.xyz,Megareceitas_WEB_content2_Posts_20200626,22042268777,22048530134,2,0,0.0000,1214,607177,0.0000
2020-11-23,megareceitas.xyz,Megareceitas_WEB_content3_Posts_20200626,22042268777,22048530140,2,0,0.0000,695,347360,0.0000
2020-11-23,megareceitas.xyz,Megareceitas_WEB_content4_Posts_20200626,22042268777,22048530152,3,0,0.0000,1876,625361,0.0000
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content4_Posts_20200630,22050817036,22050807385,5,0,0.0000,98144,19628757,0.4000
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content3_Posts_20200630,22050817036,22050809873,5,0,0.0000,118690,23737917,0.2000
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content6_Posts_20200630,22050817036,22050809921,4,0,0.0000,60579,15144806,0.2500
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content2_Posts_20200630,22050817036,22050817177,6,1,0.1667,141007,23501178,0.3333
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content5_Posts_20200630,22050817036,22050817204,5,0,0.0000,61969,12393812,0.2000
2020-11-23,vagasonlines2020.site,Vagasonlines2020_WEB_content1_Posts_20200630,22050817036,22050920796,8,0,0.0000,473244,59155445,0.3750
2020-11-23,estanatv.com.br,Estanatv_WEB_top_header_desktop_Posts_20200707,22055463065,22055602398,926,0,0.0000,479811,518154,0.4281
